Fish ID,Fish Species,Age (Weeks),Current Weight (kg),Feed Type,Feed Consumption (g/day),Water Temperature (°C),Dissolved Oxygen (mg/L),Water pH,Stocking Density (fish/m³),Market Price (₹/kg),Expected Harvest Week,Estimated Final Weight (kg)
2,Carp,6,0.9,Medium Protein,21.97,23.19,4.54,8.1,11,289.64,51,4.05
2,Carp,7,0.97,High Protein,26.57,26.38,4.33,7.79,5,380.48,34,2.86
2,Carp,8,1.04,High Protein,24.7,20.98,4.3,7.68,15,259.57,16,1.6
2,Carp,9,1.11,High Protein,27.37,29.52,5.82,7.29,7,288.05,22,2.02
2,Carp,10,1.18,High Protein,30.04,20.67,4.85,6.72,21,261.6,43,3.49
2,Carp,11,1.25,Low Protein,25.91,23.29,5.07,6.77,26,223.03,20,1.88
2,Carp,12,1.32,Low Protein,28.88,29.71,6.14,6.89,29,350.13,47,3.77
2,Carp,13,1.39,Medium Protein,31.68,23.98,5.8,7.94,8,286.46,42,3.42
2,Carp,14,1.46,Low Protein,31.75,28.86,5.13,6.61,11,264.83,19,1.81
2,Carp,15,1.53,Low Protein,30.7,21.51,7.89,6.92,10,290.32,24,2.16
2,Carp,16,1.6,Medium Protein,29.83,20.67,4.58,7.44,18,228.65,42,3.42
2,Carp,17,1.67,Low Protein,30.78,21.08,6.47,7.76,5,313.18,27,2.37
2,Carp,18,1.74,Low Protein,31.73,29.72,7.65,6.81,23,207.01,38,3.14
2,Carp,19,1.81,Medium Protein,31.59,20.89,4.14,6.89,7,300.71,42,3.42
2,Carp,20,1.88,Medium Protein,35.79,26.52,6.55,6.91,24,396.02,42,3.42
2,Carp,21,1.95,Medium Protein,30.75,24.41,7.4,8.32,27,256.16,49,3.91
2,Carp,22,2.02,High Protein,39.87,28.61,4.17,7.89,17,286.2,50,3.98
2,Carp,23,2.09,High Protein,38.69,22.94,6.86,6.96,25,295.26,47,3.77
2,Carp,24,2.16,Medium Protein,34.58,20.29,7.13,8.41,24,351.17,29,2.51
2,Carp,25,2.23,Medium Protein,32.73,27.49,4.27,7.47,28,279.57,50,3.98
2,Carp,26,2.3,Medium Protein,40.11,25.89,4.19,7.67,11,257.97,50,3.98
2,Carp,27,2.37,High Protein,41.04,24.35,5.94,7.76,9,211.53,32,2.72
2,Carp,28,2.44,High Protein,44.04,23.23,6.84,7.85,18,323.36,38,3.14
2,Carp,29,2.51,Low Protein,37.64,28.99,5.59,7.66,21,324.9,43,3.49
2,Carp,30,2.58,Low Protein,36.63,21.22,7.29,7.3,14,369.51,45,3.63
2,Carp,31,2.65,Medium Protein,45.65,21.41,7.32,6.92,27,383.12,42,3.42
2,Carp,32,2.72,High Protein,39.79,20.15,4.64,7.44,25,288.97,49,3.91
2,Carp,33,2.79,High Protein,45.12,20.73,4.28,7.73,19,208.78,51,4.05
2,Carp,34,2.86,High Protein,39.21,28.57,5.24,7.58,9,238.75,47,3.77
2,Carp,35,2.93,Medium Protein,46.91,27.94,4.78,7.64,29,351.42,43,3.49
2,Carp,36,3.0,Low Protein,41.27,21.02,7.2,6.68,22,339.32,47,3.77
2,Carp,37,3.07,Medium Protein,47.66,27.8,6.13,6.94,29,210.76,49,3.91
2,Carp,38,3.14,Low Protein,46.72,26.41,6.64,7.82,17,362.34,40,3.28
2,Carp,39,3.21,Low Protein,51.65,23.87,7.03,7.92,24,265.31,44,3.56
2,Carp,40,3.28,Medium Protein,43.17,20.84,7.46,7.0,9,366.94,43,3.49
2,Carp,41,3.35,Low Protein,46.42,26.02,6.3,8.06,14,352.02,44,3.56
2,Carp,42,3.42,Low Protein,44.9,28.4,6.39,7.68,11,341.63,43,3.49
2,Carp,43,3.49,High Protein,53.69,24.21,6.7,7.58,14,347.19,49,3.91
2,Carp,44,3.56,Low Protein,51.54,24.24,6.5,8.2,29,237.29,45,3.63
2,Carp,45,3.63,Medium Protein,51.65,28.27,7.59,8.41,23,391.03,47,3.77
2,Carp,46,3.7,Medium Protein,48.31,22.11,4.3,7.72,29,226.89,43,3.7
2,Carp,47,3.77,Low Protein,52.59,21.72,5.16,7.11,18,346.05,44,3.77
2,Carp,48,3.84,High Protein,52.39,26.96,4.11,6.95,28,266.88,49,3.91
2,Carp,49,3.91,High Protein,52.26,26.56,7.48,7.13,11,340.28,40,3.91
2,Carp,50,3.98,Low Protein,57.52,29.12,5.98,7.25,18,322.44,48,3.98
2,Carp,51,4.05,Low Protein,51.11,23.34,7.31,8.27,17,221.59,45,4.05
2,Carp,52,4.12,Medium Protein,57.67,22.02,6.34,7.23,10,354.88,45,4.12
3,Carp,1,0.46,Low Protein,22.83,24.29,4.45,8.31,23,352.28,18,1.65
3,Carp,2,0.53,High Protein,24.37,23.84,4.31,8.22,28,236.01,43,3.4
3,Carp,3,0.6,Low Protein,23.46,29.38,4.16,7.51,15,201.69,45,3.54
3,Carp,4,0.67,Medium Protein,19.52,29.18,5.14,7.03,27,298.78,30,2.49
3,Carp,5,0.74,Medium Protein,23.41,24.28,7.7,7.45,23,353.14,12,1.23
3,Carp,6,0.81,Medium Protein,19.51,24.12,7.0,8.43,16,359.86,51,3.96
3,Carp,7,0.88,Medium Protein,19.97,24.45,5.23,7.03,5,329.38,25,2.14
3,Carp,8,0.95,Medium Protein,25.89,27.31,5.43,7.64,10,297.01,39,3.12
3,Carp,9,1.02,Low Protein,28.71,25.5,6.31,6.6,28,218.89,37,2.98
3,Carp,10,1.09,Low Protein,21.57,22.88,7.5,7.12,10,363.29,18,1.65
3,Carp,11,1.16,Low Protein,22.66,27.69,7.05,8.31,15,268.12,19,1.72
3,Carp,12,1.23,Low Protein,27.96,29.04,7.54,8.0,24,287.57,39,3.12
3,Carp,13,1.3,Medium Protein,25.18,27.18,4.06,8.36,20,364.86,47,3.68
3,Carp,14,1.37,High Protein,29.82,21.95,7.91,7.3,5,315.85,23,2.0
3,Carp,15,1.44,Low Protein,26.55,27.92,4.98,8.26,5,387.26,51,3.96
3,Carp,16,1.51,High Protein,26.26,29.89,5.3,7.84,20,362.66,36,2.91
3,Carp,17,1.58,Low Protein,31.26,26.85,6.58,8.22,15,201.0,22,1.93
3,Carp,18,1.65,Low Protein,35.12,22.44,7.28,8.38,24,205.46,49,3.82
3,Carp,19,1.72,High Protein,34.05,20.06,5.36,7.95,10,326.54,49,3.82
3,Carp,20,1.79,Medium Protein,36.09,23.85,6.77,8.24,27,339.26,44,3.47
3,Carp,21,1.86,Low Protein,31.26,24.7,7.7,7.69,11,335.89,51,3.96
3,Carp,22,1.93,Low Protein,38.16,29.1,6.16,7.34,26,301.94,40,3.19
3,Carp,23,2.0,Low Protein,33.77,26.2,6.21,6.79,6,384.27,28,2.35
3,Carp,24,2.07,High Protein,39.22,22.82,6.82,6.52,15,354.71,33,2.7
3,Carp,25,2.14,Medium Protein,36.11,26.92,4.51,6.99,15,331.19,43,3.4
3,Carp,26,2.21,High Protein,34.78,20.92,6.85,7.24,28,320.95,31,2.56
3,Carp,27,2.28,High Protein,35.4,22.13,4.64,7.14,28,368.49,33,2.7
3,Carp,28,2.35,Medium Protein,39.18,27.44,7.84,8.3,13,383.9,38,3.05
3,Carp,29,2.42,High Protein,34.99,22.97,4.72,6.97,27,389.95,49,3.82
3,Carp,30,2.49,Medium Protein,44.2,20.31,5.83,7.96,19,280.97,47,3.68
3,Carp,31,2.56,Low Protein,38.31,24.97,7.18,6.88,22,229.17,50,3.89
3,Carp,32,2.63,Medium Protein,39.66,26.58,5.27,8.28,20,277.38,50,3.89
3,Carp,33,2.7,Low Protein,39.33,27.89,6.09,6.86,20,330.72,40,3.19
3,Carp,34,2.77,High Protein,37.73,23.06,4.27,8.43,14,374.7,42,3.33
3,Carp,35,2.84,High Protein,45.33,24.25,6.94,7.24,24,396.23,43,3.4
3,Carp,36,2.91,Low Protein,45.01,25.57,4.42,8.2,28,294.51,44,3.47
3,Carp,37,2.98,High Protein,47.9,20.75,6.91,7.01,16,361.31,47,3.68
3,Carp,38,3.05,Medium Protein,40.91,21.98,4.49,7.83,28,276.96,42,3.33
3,Carp,39,3.12,Low Protein,50.49,23.69,4.53,7.81,18,296.7,46,3.61
3,Carp,40,3.19,High Protein,45.21,22.67,6.91,7.77,18,261.61,46,3.61
3,Carp,41,3.26,Low Protein,51.73,24.66,5.3,7.48,20,398.5,41,3.26
3,Carp,42,3.33,Medium Protein,44.37,26.51,5.17,8.37,18,378.14,50,3.89
3,Carp,43,3.4,Medium Protein,51.44,25.4,5.17,7.43,10,334.47,43,3.4
3,Carp,44,3.47,High Protein,50.49,27.74,6.35,7.82,13,254.49,45,3.54
3,Carp,45,3.54,Medium Protein,48.98,26.26,6.03,7.83,27,273.33,50,3.89
3,Carp,46,3.61,Low Protein,46.89,22.92,4.32,7.79,26,353.46,49,3.82
3,Carp,47,3.68,Medium Protein,52.85,21.2,6.6,7.8,8,349.96,49,3.82
3,Carp,48,3.75,Low Protein,47.76,26.4,7.02,6.98,29,395.65,48,3.75
3,Carp,49,3.82,Low Protein,53.21,22.12,4.63,6.67,14,380.64,41,3.82
3,Carp,50,3.89,Medium Protein,54.94,23.19,4.92,8.42,17,294.1,49,3.89
3,Carp,51,3.96,High Protein,56.93,27.95,7.18,7.32,6,378.37,49,3.96
3,Carp,52,4.03,Medium Protein,60.21,22.2,5.89,7.55,14,328.52,47,4.03
4,Carp,1,0.41,Low Protein,16.7,25.38,5.31,7.44,5,376.44,15,1.39
4,Carp,2,0.48,Low Protein,18.02,20.95,5.3,7.38,29,351.6,10,1.04
4,Carp,3,0.55,Medium Protein,18.91,24.17,7.87,8.31,27,300.75,43,3.35
4,Carp,4,0.62,High Protein,23.52,29.8,5.65,7.1,11,271.72,28,2.3
4,Carp,5,0.69,High Protein,26.22,29.54,6.9,6.81,10,220.08,51,3.91
4,Carp,6,0.76,Low Protein,27.34,29.47,4.95,6.65,20,216.58,44,3.42
4,Carp,7,0.83,Low Protein,27.76,25.95,5.9,8.35,18,321.71,30,2.44
4,Carp,8,0.9,High Protein,27.79,22.95,7.7,7.75,14,356.15,46,3.56
4,Carp,9,0.97,Medium Protein,29.61,23.55,4.28,6.69,12,342.37,19,1.67
4,Carp,10,1.04,Low Protein,24.16,22.06,4.35,7.61,14,303.41,25,2.09
4,Carp,11,1.11,Low Protein,30.58,20.98,6.67,7.43,6,396.24,51,3.91
4,Carp,12,1.18,High Protein,29.41,21.69,4.23,8.43,17,337.26,42,3.28
4,Carp,13,1.25,Medium Protein,24.18,24.67,5.82,7.56,7,358.45,24,2.02
4,Carp,14,1.32,High Protein,23.65,20.27,5.8,8.43,16,279.26,28,2.3
4,Carp,15,1.39,Medium Protein,26.04,29.39,4.94,7.93,5,372.27,34,2.72
4,Carp,16,1.46,Medium Protein,32.39,25.62,6.29,7.91,8,323.17,22,1.88
4,Carp,17,1.53,Medium Protein,31.62,21.74,6.46,7.07,23,323.21,27,2.23
4,Carp,18,1.6,Low Protein,28.24,24.16,4.34,6.72,11,218.49,31,2.51
4,Carp,19,1.67,High Protein,34.12,23.76,6.63,7.65,27,307.68,42,3.28
4,Carp,20,1.74,High Protein,28.81,28.35,7.45,7.42,21,313.21,48,3.7
4,Carp,21,1.81,Medium Protein,36.32,21.2,5.59,8.4,8,217.46,47,3.63
4,Carp,22,1.88,Low Protein,36.74,24.3,4.05,6.9,14,250.12,42,3.28
4,Carp,23,1.95,Low Protein,39.23,27.11,6.04,6.87,8,255.17,41,3.21
4,Carp,24,2.02,High Protein,31.7,23.73,4.08,6.85,21,326.35,50,3.84
4,Carp,25,2.09,Low Protein,39.97,23.58,7.63,6.83,26,290.86,48,3.7
4,Carp,26,2.16,Low Protein,35.01,23.4,5.78,7.13,24,204.59,44,3.42
4,Carp,27,2.23,Medium Protein,36.46,27.62,4.07,7.58,20,398.8,45,3.49
4,Carp,28,2.3,Low Protein,37.68,21.19,5.9,8.23,6,240.94,49,3.77
4,Carp,29,2.37,Medium Protein,39.97,28.57,6.31,8.4,16,218.82,46,3.56
4,Carp,30,2.44,High Protein,44.35,20.71,7.63,8.19,18,359.79,47,3.63
4,Carp,31,2.51,Low Protein,41.1,23.19,4.9,6.97,13,388.42,46,3.56
4,Carp,32,2.58,High Protein,45.07,23.89,6.29,7.44,8,395.1,43,3.35
4,Carp,33,2.65,High Protein,39.05,23.94,6.13,6.77,12,357.03,42,3.28
4,Carp,34,2.72,Low Protein,41.18,21.88,4.43,7.83,20,382.56,41,3.21
4,Carp,35,2.79,Low Protein,42.94,26.03,7.85,6.55,9,355.42,43,3.35
4,Carp,36,2.86,High Protein,41.83,24.54,5.23,7.23,9,246.1,50,3.84
4,Carp,37,2.93,Low Protein,49.07,25.68,6.9,7.78,23,326.24,50,3.84
4,Carp,38,3.0,Medium Protein,47.26,26.15,7.14,8.01,16,303.96,41,3.21
4,Carp,39,3.07,Medium Protein,45.49,21.91,6.76,8.41,25,213.52,43,3.35
4,Carp,40,3.14,Low Protein,48.91,29.2,4.47,8.01,16,232.09,50,3.84
4,Carp,41,3.21,High Protein,46.77,28.3,5.51,7.11,27,331.01,48,3.7
4,Carp,42,3.28,Low Protein,42.97,28.28,7.32,7.78,5,285.2,41,3.28
4,Carp,43,3.35,Low Protein,48.93,25.32,7.29,7.98,20,389.44,42,3.35
4,Carp,44,3.42,High Protein,50.45,28.2,4.98,8.04,19,234.49,46,3.56
4,Carp,45,3.49,High Protein,54.71,26.27,6.15,6.7,17,217.56,50,3.84
4,Carp,46,3.56,Medium Protein,46.01,24.51,7.28,8.03,29,358.71,42,3.56
4,Carp,47,3.63,High Protein,51.42,27.52,6.45,6.74,16,341.65,49,3.77
4,Carp,48,3.7,Medium Protein,47.98,26.0,4.85,7.79,21,234.33,43,3.7
4,Carp,49,3.77,High Protein,49.19,20.02,7.2,8.01,15,214.42,44,3.77
4,Carp,50,3.84,Low Protein,54.5,29.97,7.33,8.27,10,342.09,43,3.84
4,Carp,51,3.91,Medium Protein,51.42,24.3,7.68,6.56,7,318.52,41,3.91
4,Carp,52,3.98,Medium Protein,57.29,25.72,7.35,8.27,5,367.61,40,3.98
5,Carp,1,0.23,Medium Protein,17.44,24.06,6.54,7.48,27,372.42,47,3.45
5,Carp,2,0.3,Low Protein,15.18,21.0,5.86,8.21,19,349.1,8,0.72
5,Carp,3,0.37,Low Protein,18.64,28.34,7.99,7.39,11,260.13,26,1.98
5,Carp,4,0.44,Low Protein,14.41,26.83,7.93,6.92,27,273.94,45,3.31
5,Carp,5,0.51,Low Protein,23.73,28.29,5.92,7.47,8,221.18,37,2.75
5,Carp,6,0.58,Low Protein,15.93,24.84,7.03,7.89,12,306.47,25,1.91
5,Carp,7,0.65,Medium Protein,16.57,27.92,5.34,8.37,14,392.16,43,3.17
5,Carp,8,0.72,Low Protein,23.32,27.98,4.77,7.63,15,383.0,30,2.26
5,Carp,9,0.79,Medium Protein,27.64,23.36,7.64,7.64,6,342.65,14,1.14
5,Carp,10,0.86,Low Protein,27.16,20.04,4.17,6.98,25,310.62,21,1.63
5,Carp,11,0.93,High Protein,21.82,28.6,6.97,8.02,7,398.67,43,3.17
5,Carp,12,1.0,Medium Protein,21.97,21.85,7.37,6.97,5,358.1,47,3.45
5,Carp,13,1.07,High Protein,26.96,28.69,6.89,7.55,19,323.48,24,1.84
5,Carp,14,1.14,Medium Protein,29.63,26.18,7.53,6.9,9,347.74,30,2.26
5,Carp,15,1.21,High Protein,25.72,26.35,5.1,7.54,16,398.23,30,2.26
5,Carp,16,1.28,Low Protein,27.12,22.47,7.14,7.75,12,380.75,36,2.68
5,Carp,17,1.35,Low Protein,24.65,24.03,6.86,8.09,14,210.64,35,2.61
5,Carp,18,1.42,Low Protein,25.73,23.12,7.94,8.07,24,221.76,39,2.89
5,Carp,19,1.49,Medium Protein,30.58,21.9,7.65,7.63,22,285.59,34,2.54
5,Carp,20,1.56,High Protein,26.63,27.25,4.25,7.86,5,399.67,26,1.98
5,Carp,21,1.63,Low Protein,28.32,20.96,4.52,8.38,26,241.78,41,3.03
5,Carp,22,1.7,High Protein,29.35,25.12,8.0,7.83,22,258.83,31,2.33
5,Carp,23,1.77,High Protein,32.14,25.36,6.46,7.09,24,200.95,50,3.66
5,Carp,24,1.84,Low Protein,28.86,29.55,4.38,8.27,27,359.0,45,3.31
5,Carp,25,1.91,Low Protein,34.1,28.69,5.31,7.71,17,344.15,34,2.54
5,Carp,26,1.98,High Protein,39.09,24.92,5.53,6.56,8,374.99,44,3.24
5,Carp,27,2.05,Low Protein,30.74,28.44,4.29,8.49,29,364.91,48,3.52
5,Carp,28,2.12,Low Protein,37.51,27.91,6.48,6.89,15,331.62,34,2.54
5,Carp,29,2.19,Low Protein,40.26,20.28,7.79,7.0,27,269.38,41,3.03
5,Carp,30,2.26,Medium Protein,35.72,29.22,6.81,8.06,8,286.49,37,2.75
5,Carp,31,2.33,High Protein,34.62,26.88,7.43,7.96,5,213.55,42,3.1
5,Carp,32,2.4,High Protein,34.43,26.72,7.7,7.29,8,328.37,43,3.17
5,Carp,33,2.47,Medium Protein,41.14,27.13,7.93,7.92,27,248.79,42,3.1
5,Carp,34,2.54,High Protein,40.92,22.25,7.25,7.91,6,398.02,43,3.17
5,Carp,35,2.61,Low Protein,38.39,20.29,6.07,8.27,9,313.19,45,3.31
5,Carp,36,2.68,High Protein,45.12,22.32,4.28,8.44,13,251.92,40,2.96
5,Carp,37,2.75,Low Protein,44.86,27.95,4.21,6.74,28,251.43,42,3.1
5,Carp,38,2.82,Medium Protein,40.96,25.97,7.05,6.99,25,301.4,48,3.52
5,Carp,39,2.89,Low Protein,46.43,23.61,5.01,6.95,8,325.45,44,3.24
5,Carp,40,2.96,High Protein,42.05,22.42,5.63,8.13,12,290.1,51,3.73
5,Carp,41,3.03,High Protein,47.05,28.0,7.21,7.95,22,341.58,46,3.38
5,Carp,42,3.1,High Protein,42.19,24.58,6.47,6.75,8,303.7,49,3.59
5,Carp,43,3.17,Medium Protein,48.62,26.12,7.2,6.96,11,214.88,45,3.31
5,Carp,44,3.24,Medium Protein,44.79,20.13,6.21,7.56,10,244.86,46,3.38
5,Carp,45,3.31,High Protein,48.82,24.3,4.82,7.48,5,219.77,45,3.31
5,Carp,46,3.38,Low Protein,45.52,20.15,7.13,8.5,14,319.83,50,3.66
5,Carp,47,3.45,Medium Protein,51.76,27.87,6.82,7.76,12,288.01,45,3.45
5,Carp,48,3.52,High Protein,45.81,22.49,6.02,6.78,15,397.09,47,3.52
5,Carp,49,3.59,High Protein,47.55,21.67,6.23,8.22,8,265.16,45,3.59
5,Carp,50,3.66,Medium Protein,48.44,29.26,4.22,6.85,15,205.56,44,3.66
5,Carp,51,3.73,Medium Protein,47.71,20.18,6.84,7.14,19,392.35,47,3.73
5,Carp,52,3.8,Medium Protein,55.45,21.98,6.99,7.3,13,323.37,42,3.8
6,Tilapia,1,0.24,Low Protein,22.21,22.4,6.67,8.33,8,298.61,32,2.72
6,Tilapia,2,0.32,Low Protein,20.98,28.23,5.79,6.66,21,358.99,29,2.48
6,Tilapia,3,0.4,High Protein,22.61,27.1,4.1,7.37,9,244.14,46,3.84
6,Tilapia,4,0.48,Medium Protein,14.86,29.67,6.59,6.86,20,252.86,16,1.44
6,Tilapia,5,0.56,Low Protein,16.78,26.95,7.03,7.86,18,382.17,49,4.08
6,Tilapia,6,0.64,Medium Protein,21.99,22.36,5.5,7.32,16,273.99,28,2.4
6,Tilapia,7,0.72,High Protein,26.98,21.67,5.64,6.8,12,399.94,25,2.16
6,Tilapia,8,0.8,Low Protein,24.61,27.55,4.68,8.28,6,254.1,23,2.0
6,Tilapia,9,0.88,Low Protein,22.54,29.01,6.58,7.16,9,353.76,19,1.68
6,Tilapia,10,0.96,Low Protein,21.06,29.12,7.1,8.12,24,204.32,16,1.44
6,Tilapia,11,1.04,High Protein,21.93,27.71,6.4,6.67,13,216.24,18,1.6
6,Tilapia,12,1.12,Medium Protein,24.83,27.94,6.57,7.81,23,263.82,49,4.08
6,Tilapia,13,1.2,Low Protein,29.14,26.62,7.49,7.08,12,301.33,19,1.68
6,Tilapia,14,1.28,High Protein,23.12,27.36,7.67,7.94,28,271.75,27,2.32
6,Tilapia,15,1.36,Medium Protein,32.12,21.16,6.71,7.88,14,363.74,39,3.28
6,Tilapia,16,1.44,High Protein,33.82,23.29,4.67,8.44,18,323.82,39,3.28
6,Tilapia,17,1.52,Medium Protein,34.09,24.58,4.46,7.01,9,396.39,47,3.92
6,Tilapia,18,1.6,High Protein,35.13,26.64,7.35,7.12,27,344.86,47,3.92
6,Tilapia,19,1.68,Medium Protein,26.95,24.18,6.6,7.05,18,250.85,49,4.08
6,Tilapia,20,1.76,Low Protein,37.38,23.75,4.87,6.77,7,325.93,35,2.96
6,Tilapia,21,1.84,Medium Protein,32.06,25.64,4.84,8.32,29,317.04,29,2.48
6,Tilapia,22,1.92,High Protein,37.89,23.94,4.21,7.73,23,351.34,43,3.6
6,Tilapia,23,2.0,High Protein,31.87,20.73,6.02,7.56,19,301.41,43,3.6
6,Tilapia,24,2.08,Medium Protein,35.27,29.69,4.48,8.44,25,283.09,35,2.96
6,Tilapia,25,2.16,Low Protein,32.04,29.26,5.54,7.59,29,370.55,42,3.52
6,Tilapia,26,2.24,Low Protein,32.8,20.39,4.8,8.0,27,306.26,49,4.08
6,Tilapia,27,2.32,Medium Protein,42.63,25.29,6.92,8.4,23,284.98,45,3.76
6,Tilapia,28,2.4,Medium Protein,42.11,27.13,4.02,7.68,25,370.66,49,4.08
6,Tilapia,29,2.48,High Protein,40.1,26.1,5.51,6.75,7,243.11,36,3.04
6,Tilapia,30,2.56,Low Protein,40.85,23.53,4.18,8.19,26,376.91,41,3.44
6,Tilapia,31,2.64,Medium Protein,43.89,28.03,4.2,6.7,16,369.91,43,3.6
6,Tilapia,32,2.72,Low Protein,40.62,26.15,4.38,8.39,24,237.4,47,3.92
6,Tilapia,33,2.8,Medium Protein,45.62,22.39,5.1,7.39,10,250.9,50,4.16
6,Tilapia,34,2.88,Medium Protein,43.65,26.11,7.13,7.88,26,287.02,51,4.24
6,Tilapia,35,2.96,Low Protein,45.98,22.75,6.18,8.2,19,307.72,42,3.52
6,Tilapia,36,3.04,Medium Protein,50.05,25.96,4.56,6.83,14,386.04,40,3.36
